repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
oalt-maven-prod-local,LOCAL,0,0,0 bytes,0,0,Maven,oalt,0%
brep-helm,VIRTUAL,3,1,112.81 KB,115518,4,Helm,brep,0%
pos2-config,VIRTUAL,0,0,0 bytes,0,0,Generic,pos2,0%
moxy-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,moxy,0%
pos2-binary-external-images-local,LOCAL,2,35,5.17 GB,5552991039,37,Generic,pos2,0.03%
mcdp-docker-prod,VIRTUAL,0,0,0 bytes,0,0,Docker,mcdp,0%
rcc1-helm-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Helm,rcc1,0%
dret-docker-external-cache,CACHE,0,0,0 bytes,0,0,Docker,dret,0%
acct-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,acct,0%
medp-docker-staging-local,LOCAL,2,13,80.91 MB,84838781,15,Docker,medp,0%
oalt-maven-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,oalt,0%
rcc1-docker-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,rcc1,0%
rcc1-helm-prod-local,LOCAL,0,0,0 bytes,0,0,Helm,rcc1,0%
medp-helm-dev-local,LOCAL,0,1,54 bytes,54,1,Helm,medp,0%
rfm2-ui-common-dev-local,LOCAL,11,9,208.47 KB,213474,20,npm,rfm2,0%
oalt-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
vcet-maven-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,vcet,0%
pos2-docker-local,LOCAL,2959,39801,10.12 TB,11126165158665,42760,Docker,pos2,68.81%
rcc1-docker-prod-local,LOCAL,0,0,0 bytes,0,0,Docker,rcc1,0%
core-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,core,0%
gtee-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,gtee,0%
dret-maven-dev-local,LOCAL,11,21,359.62 MB,377088446,32,Maven,dret,0%
mrmp-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,mrmp,0%
gdap-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,gdap,0%
medp-maven-dev,VIRTUAL,137,0,0 bytes,0,137,Maven,medp,0%
medp-docker-eks-test,LOCAL,0,0,0 bytes,0,0,Docker,medp,0%
